energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,461.439,14.3019,436.958,12.9102,498.696,16.2171,0.76411,0.030492,192.671,25.5933,
0.75,1000,3000,450.352,7.50531,443.371,7.86475,451.296,7.03214,0.737912,0.016146,195.719,25.1935,
0.75,1000,5000,449.978,7.35583,437.715,8.26221,371.173,4.80546,0.729775,0.0118623,194.923,27.9937,
0.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,427.305,35.3586,492.065,36.5862,466.931,41.0169,1.31227,0.394541,189.841,28.964,
0.75,3000,3000,416.211,15.6069,410.479,13.3726,406.133,12.9875,0.788802,0.0439694,198.387,25.2991,
0.75,3000,5000,417.786,13.8758,393.072,11.0542,338.241,10.7978,0.785687,0.0332148,195.266,28.2453,
0.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,341.186,28.0842,293.658,30.4819,11519.9,11512,1.05938,0.20489,194.732,31.0803,
0.75,5000,3000,341.144,11.8793,371.934,14.7841,1396.51,83.8818,0.786211,0.0431245,195.859,24.9327,
0.75,5000,5000,365.541,15.9561,367.571,13.7306,946.589,5226.52,0.745168,0.0349142,194.838,29.8301,
0.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,403.694,12.484,366.02,10.7217,422.933,12.8513,0.772603,0.0347311,266.964,28.9217,
1.25,1000,3000,388.946,6.96708,406.692,6.57194,387.516,6.08651,0.769327,0.0167162,268.077,28.8699,
1.25,1000,5000,390.593,6.85919,367.649,7.20867,319.062,4.35571,0.724635,0.0118927,267.488,31.8611,
1.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,393.473,32.762,354.96,25.6068,492.486,46.461,1.11929,0.234031,264.327,25.6992,
1.25,3000,3000,366.149,12.3807,409.978,15.2362,364.151,22.1756,0.788102,0.0426091,269.678,28.5776,
1.25,3000,5000,348.869,9.98221,356.185,11.102,292.996,8.59276,0.71213,0.0282015,268.735,32.474,
1.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
