energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,711.688,19.2518,742.719,20.9292,821.561,23.1578,0.785598,0.0273405,55.7005,12.0222,
0.75,1000,3000,723.327,12.1436,725.646,11.461,811.478,11.9614,0.695367,0.0101695,55.6014,12.3171,
0.75,1000,5000,770.753,10.6441,792.095,11.3492,789.547,9.29683,0.717201,0.00851462,56.8057,12.6946,
0.75,1000,7000,817.496,7.88906,819.006,8.05486,701.732,6.99919,0.720145,0.00724702,57.6941,12.8168,
0.75,1000,9000,475.993,7.87705,471.652,7.79219,565.741,8.85687,0.730685,0.0119279,57.6165,12.3434,
0.75,3000,1000,617.466,48.9661,621.12,71.4682,1136.49,121.293,1.03063,0.196284,54.9486,11.9597,
0.75,3000,3000,670.031,29.0251,643.951,28.4052,773.555,29.4184,0.734734,0.0404411,56.4814,12.3588,
0.75,3000,5000,712.9,20.2702,673.812,22.0517,721.192,18.6055,0.723986,0.0267442,56.121,12.4853,
0.75,3000,7000,828.348,19.3536,827.393,19.9285,811.665,21.3122,0.729513,0.0195246,57.8785,12.5221,
0.75,3000,9000,465.448,20.7075,458.725,16.6935,867.957,45.1419,0.802841,0.0447697,57.6257,12.5664,
0.75,5000,1000,697.421,64.1118,690.151,65.7734,841.793,67.0845,1.10266,0.236964,56.8065,13.4833,
0.75,5000,3000,679.8,29.6864,725.126,32.5685,802.183,38.8434,0.747552,0.0353241,55.4946,12.6739,
0.75,5000,5000,690.716,22.3198,704.7,20.7461,802.928,24.6255,0.726738,0.0242744,56.9423,12.5131,
0.75,5000,7000,814.86,20.081,761.884,18.3797,867.019,22.3602,0.71411,0.0198167,57.7628,12.4657,
0.75,5000,9000,524.127,23.418,471.791,20.2028,1028.44,58.4883,0.794289,0.0482256,58.0123,11.9025,
0.75,7000,1000,577.818,51.5161,717.284,61.3275,588.233,49.2174,0.990369,0.22663,58.5213,13.2715,
0.75,7000,3000,688.259,30.1728,605.171,27.5665,557.363,25.248,0.927055,0.0655567,57.7012,12.5037,
0.75,7000,5000,689.878,21.5445,721.236,23.6042,583.92,18.5579,0.689535,0.0227642,57.4462,13.013,
0.75,7000,7000,750.881,20.7403,774.623,20.9753,583.843,13.0515,0.700273,0.0171011,58.5335,13.0791,
0.75,7000,9000,461.293,19.1914,485.322,21.0807,448.423,21.6185,0.785122,0.0410773,58.015,13.2554,
0.75,9000,1000,697.554,156.651,444.703,79.055,435.523,236.703,1.80646,1.37644,54.4305,14.4469,
0.75,9000,3000,456.17,35.1232,443.589,41.4752,327.948,52.4738,1.05949,0.192362,55.882,12.947,
0.75,9000,5000,532.063,38.0012,556.314,31.2445,264.478,19.1282,0.811052,0.0702576,58.1861,12.5699,
0.75,9000,7000,616.804,29.5941,552.214,28.2709,263.814,16.6533,0.721766,0.0445537,59.3382,13.3004,
0.75,9000,9000,437.361,40.0343,531.028,58.8347,311.88,33.789,1.24275,0.31761,57.3495,12.7433,
1.25,1000,1000,559.176,13.6899,573.013,13.4056,720.018,19.0552,0.702328,0.0206281,89.6059,15.1588,
1.25,1000,3000,578.723,8.76544,567.472,8.18143,669.62,9.17149,0.703156,0.0107017,89.6081,14.8661,
1.25,1000,5000,586.838,7.13643,592.069,7.24541,640.565,7.27365,0.698296,0.00792422,91.4438,14.8055,
1.25,1000,7000,666.682,7.10579,665.71,7.04156,577.266,5.11763,0.729696,0.0078248,93.5035,15.1448,
1.25,1000,9000,403.966,6.51492,392.793,6.3561,459.918,6.78759,0.69748,0.0104711,92.7757,15.0833,
1.25,3000,1000,522.253,38.3757,564.939,49.4957,749.671,72.6452,0.799678,0.117087,87.0263,12.9519,
1.25,3000,3000,550.2,22.1267,539.139,20.0511,643.363,25.3767,0.837484,0.0513821,89.6916,15.233,
1.25,3000,5000,576.105,17.9714,593.757,16.7444,606.432,15.4167,0.757849,0.0266403,89.6661,15.1134,
1.25,3000,7000,685.211,15.2112,731.223,16.4765,621.648,14.8762,0.768993,0.0209165,92.9376,14.8616,
1.25,3000,9000,380.579,12.9444,407.53,15.3122,581.869,26.1074,0.705678,0.0354414,92.0634,15.3233,
1.25,5000,1000,508.064,40.2886,440.331,32.7595,679.569,54.6298,1.16819,0.243815,88.0891,15.3023,
1.25,5000,3000,497.316,17.3149,527.64,18.0765,625.045,23.8328,0.756465,0.0444117,90.9647,15.0657,
1.25,5000,5000,557.942,15.1941,543.737,15.3732,637.317,17.3193,0.713787,0.0224568,92.0702,14.7179,
1.25,5000,7000,701.703,16.5962,706.874,19.8286,747.066,21.3256,0.743018,0.0192277,93.8865,15.7243,
1.25,5000,9000,470.869,17.801,415.322,17.6942,812.607,52.7565,0.767409,0.0433209,94.1367,15.2283,
1.25,7000,1000,551.16,48.2864,334.158,36.6737,583.584,79.6827,1.33996,0.386936,91.1626,13.7133,
1.25,7000,3000,505.819,18.3528,506.479,19.8572,511.53,21.091,0.778184,0.0430265,92.2445,15.0271,
1.25,7000,5000,489.463,15.9153,543.105,15.7264,487.594,13.7718,0.711371,0.0231313,94.0681,15.1203,
1.25,7000,7000,560.314,14.1723,569.74,14.7385,505.14,14.4451,0.72824,0.0196212,95.2001,14.6768,
1.25,7000,9000,401.255,14.3436,392.308,15.1207,377.074,17.5644,0.780607,0.0407088,92.7749,15.9772,
1.25,9000,1000,409.839,130.123,502.219,218.688,167.854,33.1086,1.78843,1.43943,93.018,15.9304,
1.25,9000,3000,291.148,28.6168,388.886,31.2465,277.543,25.6627,0.966567,0.177702,92.2822,13.9247,
1.25,9000,5000,370.181,19.1458,372.191,16.8179,240.762,15.134,0.949183,0.112534,91.3104,14.1733,
1.25,9000,7000,426.31,18.7345,399.614,16.7205,229.064,11.6958,0.847889,0.0594031,93.7014,15.1823,
1.25,9000,9000,341.487,26.963,450.486,38.5347,356.146,67.4789,1.34808,0.395836,93.4769,18.5687,
1.75,1000,1000,518.532,12.6815,510.787,13.0401,631.17,15.5818,0.776272,0.0265428,124.434,15.9734,
1.75,1000,3000,497.663,7.39899,485.987,7.0986,593.752,7.90189,0.733558,0.0123176,126.355,16.9522,
1.75,1000,5000,506.544,5.58138,500.846,5.81874,560.242,5.38773,0.73949,0.00931115,127.808,17.0868,
1.75,1000,7000,579.636,5.83966,593.013,6.23838,507.233,4.40279,0.700358,0.00665563,130.967,16.9652,
1.75,1000,9000,376.273,5.73833,367.961,5.60093,406.726,6.23725,0.661497,0.00945072,129.725,17.1815,
1.75,3000,1000,445.757,40.7808,438.516,40.0035,582.781,54.5015,1.28619,0.310371,123.077,16.8623,
1.75,3000,3000,492.556,19.4456,493.262,19.9262,568.626,22.8676,0.812662,0.0586805,124.022,15.3603,
1.75,3000,5000,518.903,13.7712,538.861,15.707,515.339,13.0258,0.721868,0.0225139,127.077,16.0878,
1.75,3000,7000,622.992,14.3783,606.281,14.2565,515.607,12.9156,0.721416,0.0195359,130.759,17.5963,
1.75,3000,9000,383.28,13.8389,372.241,14.6535,457.931,17.3335,0.830002,0.0490916,127.956,18.5222,
1.75,5000,1000,477.657,32.2532,438.496,28.4194,474.518,35.3905,1.07693,0.18768,125.375,15.7966,
1.75,5000,3000,414.668,13.1547,425.207,14.7015,576.489,26.2206,0.763442,0.0471592,125.507,16.5559,
1.75,5000,5000,480.56,13.0026,461.568,12.8828,549.878,14.0982,0.760957,0.0257149,127.589,17.5026,
1.75,5000,7000,595.041,14.1577,590.072,14.1357,616.902,13.3893,0.692934,0.0179587,131.185,17.2829,
1.75,5000,9000,406.123,14.7683,373.302,14.3292,581.851,35.1892,0.747851,0.0429943,129.112,16.4934,
1.75,7000,1000,410.164,26.9317,448.497,32.0702,440.705,30.7903,1.26388,0.312505,128.868,17.8047,
1.75,7000,3000,456.016,16.9341,421.512,14.8551,448.47,17.5397,0.735563,0.0359843,128.765,16.7385,
1.75,7000,5000,440.292,14.0621,446.949,12.3595,454.197,11.3048,0.719577,0.0262648,130.179,17.6553,
1.75,7000,7000,456.194,10.0293,474.862,11.1263,439.262,11.0605,0.741234,0.0191952,133.395,17.1807,
1.75,7000,9000,365.281,13.16,389.735,14.4079,357.004,14.2777,0.695372,0.034025,130.26,17.4889,
1.75,9000,1000,360.202,66.3297,376.813,62.6415,322.237,82.7133,3.90113,4.31493,131.709,17.8695,
1.75,9000,3000,349.903,23.0755,330.267,25.7836,253.423,23.5377,1.18705,0.268343,127.354,16.9085,
1.75,9000,5000,344.851,18.9683,300.181,13.5607,217.347,13.7389,0.868512,0.0760801,130.182,16.2969,
1.75,9000,7000,384.902,16.0315,343.166,14.785,238.5,13.3568,0.786587,0.0531083,132.32,17.9386,
1.75,9000,9000,328.456,21.4857,395.052,26.5818,300.758,29.8228,1.17414,0.229543,129.557,17.5509,
2.25,1000,1000,459.885,12.399,457.908,11.8547,560.307,13.564,0.679421,0.0200578,160.865,19.1496,
2.25,1000,3000,442.54,6.7082,463.886,6.70565,550.11,6.87498,0.717266,0.0118358,161.826,18.0232,
2.25,1000,5000,459.046,5.43386,457.754,5.34524,514.783,5.1879,0.7489,0.00989923,164.244,18.3643,
2.25,1000,7000,527.169,5.66393,530.841,5.68657,459.79,3.8148,0.722776,0.0074937,168.356,18.9588,
2.25,1000,9000,356.371,5.85937,352.496,5.24909,374.619,5.72231,0.722428,0.0122366,166.208,19.7059,
2.25,3000,1000,554.336,49.2512,386.124,40.0984,555.74,51.0047,0.973512,0.178564,161.21,21.4962,
2.25,3000,3000,416.138,12.9794,473.433,17.0983,501.953,17.4589,0.734283,0.0390833,160.176,18.5179,
2.25,3000,5000,446.031,11.0412,455.171,11.971,506.532,13.8823,0.760567,0.0278496,163.139,18.5979,
2.25,3000,7000,555.889,13.648,570.466,13.6235,457.4,9.66684,0.742294,0.0191129,167.893,18.7038,
2.25,3000,9000,346.57,12.6482,341.958,13.609,395.468,19.0743,0.754319,0.0431178,164.437,18.0059,
2.25,5000,1000,376.208,22.1194,380.491,23.7641,423.885,35.5946,1.08124,0.207636,160.895,17.2274,
2.25,5000,3000,392.894,13.5513,401.997,13.4194,507.774,17.9895,0.774297,0.0394074,162.199,16.9924,
2.25,5000,5000,429.638,10.7297,418.594,11.3943,487.338,11.7175,0.754654,0.0261569,163.791,19.3251,
2.25,5000,7000,503.153,11.6374,517.74,13.105,524.64,11.0983,0.776702,0.0226303,169.402,19.8447,
2.25,5000,9000,407.1,15.7075,339.337,12.2602,454.336,17.2584,0.777622,0.0375766,166.009,18.3954,
2.25,7000,1000,415.476,25.5959,358.072,21.2878,376.295,28.5323,1.00738,0.165788,164.972,18.9282,
2.25,7000,3000,383.055,14.4777,358.46,10.9585,415.393,16.1746,0.767023,0.0371778,166.938,19.1344,
2.25,7000,5000,376.743,10.7376,398.668,10.8088,382.579,10.9748,0.797919,0.032703,167.921,18.9639,
2.25,7000,7000,423.23,9.09416,406.179,9.59976,398.538,10.1747,0.747789,0.0195545,171.328,19.2807,
2.25,7000,9000,362.276,12.4261,333.284,11.9535,351.828,17.3677,0.798341,0.0471913,169.232,20.2158,
2.25,9000,1000,294.079,47.4952,293.164,59.2988,308.718,94.4959,3.39163,3.44878,160.479,16.1186,
