energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,1215.95,60.0654,1196.67,60.9533,1432.41,65.2543,0.699384,0.0246343,14.6328,4.87364,
0.75,1000,3000,1313.89,30.9721,1271.88,33.676,1384.32,32.7341,0.703811,0.0111301,14.8751,5.1445,
0.75,1000,5000,1429.67,27.3327,1391.54,25.7979,1228.8,20.0224,0.704415,0.00899838,15.0699,5.05896,
0.75,1000,7000,1041.85,15.1997,1036.99,16.0841,933.773,15.4277,0.730923,0.00940727,14.8735,5.20082,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,1535.67,315.243,1364.13,337.526,1840.02,362.133,1.26468,0.310749,15.0689,4.76618,
0.75,3000,3000,1180.52,65.0916,1048.73,87.371,1365.42,62.3585,0.766757,0.0432417,14.8671,4.84316,
0.75,3000,5000,1515.08,63.0497,1330.3,56.623,1315.61,48.668,0.721584,0.0235602,14.7916,5.1289,
0.75,3000,7000,973.497,32.1263,1050.19,31.8922,980.041,35.544,0.703879,0.0200388,15.0637,5.24056,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,1231.11,236.385,1699.68,327.861,2616.4,583.101,0.852797,0.140191,14.8109,5.07922,
0.75,5000,3000,1031.19,60.1542,1125.7,78.3884,1522.75,69.5203,0.792046,0.0437537,14.6928,4.98812,
0.75,5000,5000,1222.33,50.9442,1230,67.5272,1431.41,49.9791,0.723038,0.0230155,14.8575,4.99803,
0.75,5000,7000,1033.06,39.7783,1053.31,32.9719,1045.69,41.4324,0.758205,0.0246512,14.8943,5.18166,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,1860.63,445.791,1161.45,226.317,832.824,264.753,1.68399,0.779953,15.3631,5.44322,
0.75,7000,3000,847.236,41.9438,854.198,47.0188,728.557,36.1237,0.847271,0.0516102,14.6923,5.29303,
0.75,7000,5000,1057.42,46.0018,1029.83,73.7407,842.361,45.0652,0.770016,0.0303641,14.9931,5.10872,
0.75,7000,7000,862.547,35.0942,904.246,38.2603,790.616,36.2662,0.729305,0.0235294,14.8735,5.40569,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,920.082,32.4726,901.195,26.727,1089.54,41.0231,0.754366,0.027264,20.3587,5.22393,
1.25,1000,3000,911.337,19.243,952.715,20.4087,1009.4,18.8915,0.722771,0.0124438,20.616,5.72312,
1.25,1000,5000,998.799,17.2253,1034.05,17.451,994.773,14.0038,0.706756,0.00862314,20.7225,5.58483,
1.25,1000,7000,793.218,11.6191,796.325,11.6669,764.02,10.2822,0.707999,0.00812919,20.8144,5.69795,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,898.748,130.333,944.322,133.16,1085.91,216.22,1.0727,0.233437,19.2466,6.85554,
1.25,3000,3000,987.187,56.602,1000.12,48.1214,984.204,47.7982,0.776444,0.040326,20.4236,5.05846,
1.25,3000,5000,959.705,35.921,975.931,36.4952,866.509,26.0253,0.72682,0.0220918,20.6803,5.54081,
1.25,3000,7000,820.611,25.5668,836.296,24.4727,796.748,22.2296,0.740082,0.0218307,20.296,5.34311,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,1096.17,146.829,1110.76,240.367,1520.25,283.346,1.10199,0.226271,20.6715,5.91908,
1.25,5000,3000,963.999,44.2869,892.78,39.3426,1060.23,51.8463,0.815324,0.0427999,20.6675,5.42514,
1.25,5000,5000,912.328,36.0329,904.171,32.3236,1152.31,39.3224,0.798352,0.0280544,20.893,5.08363,
1.25,5000,7000,749.136,24.5849,807.851,24.8654,969.949,32.6196,0.739628,0.0221197,20.99,5.65164,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,788.941,99.021,594.191,56.8863,784.494,108.69,0.968681,0.181256,20.6865,5.77409,
1.25,7000,3000,625.492,30.0441,803.054,43.2585,638.928,32.7063,0.803032,0.0510458,20.8432,5.51827,
1.25,7000,5000,657.038,24.073,723.486,32.3191,748.405,27.9614,0.784758,0.0323906,20.971,5.49951,
1.25,7000,7000,695.368,31.3969,732.55,30.1669,644.502,23.1334,0.75404,0.0260943,20.8713,6.03845,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,748.946,29.6243,722.067,25.87,897.544,29.0496,0.759808,0.0294547,26.5879,6.22278,
1.75,1000,3000,792.535,14.1471,806.738,13.9801,927.758,16.1721,0.705576,0.0112267,26.807,6.12174,
1.75,1000,5000,831.795,12.884,844.882,12.885,835.662,11.4879,0.694393,0.00804076,27.1976,6.09646,
1.75,1000,7000,699.694,9.31655,698.882,9.95793,657.495,8.64599,0.709089,0.00808515,27.351,6.4567,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,806.017,76.3086,894.771,84.7888,856.772,87.1335,1.04846,0.196831,27.3393,6.24563,
1.75,3000,3000,767.803,33.2276,853.003,37.3515,877.432,36.3577,0.723435,0.0331554,26.4132,6.5219,
1.75,3000,5000,789.771,24.6875,906.958,27.6441,800.266,22.8681,0.718274,0.0225589,27.2306,6.3216,
1.75,3000,7000,737.011,23.5266,735.238,24.0776,728.733,25.0416,0.833127,0.0332146,27.2075,6.47513,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,712.151,56.0922,860.859,88.1504,777.847,68.1271,0.937025,0.1399,26.702,6.21276,
1.75,5000,3000,749.968,31.7158,590.496,28.3384,935.809,38.672,0.818605,0.0509047,27.1262,6.77984,
1.75,5000,5000,783.5,26.4891,830.817,26.5626,896.011,30.8171,0.758623,0.0273038,27.7039,6.60938,
1.75,5000,7000,734.227,21.8635,731.111,19.8831,928.807,35.8158,0.773961,0.0250956,27.6016,6.33262,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,729.559,102.759,664.153,86.6008,1033.7,369.673,1.33732,0.430652,26.2969,7.30921,
1.75,7000,3000,570.31,28.8355,564.922,28.582,590.57,30.2917,0.777133,0.0482564,27.3979,6.31906,
1.75,7000,5000,636.418,24.7268,608.814,21.337,635.149,20.3184,0.752312,0.0304407,27.4306,6.41376,
1.75,7000,7000,559.113,20.2078,574.149,19.9755,611.892,22.3237,0.708648,0.0233504,27.4496,6.56073,
1.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,1000,1000,713.416,24.1484,630.367,18.04,768.509,21.7608,0.703632,0.0213218,33.2246,6.94779,
2.25,1000,3000,705.89,12.3704,695.555,12.2639,802.887,14.4284,0.71694,0.0123975,33.3505,6.94681,
2.25,1000,5000,741.283,10.8633,717.767,10.2263,765.959,9.7674,0.698543,0.00831483,33.786,6.94063,
2.25,1000,7000,627.382,8.46636,638.676,9.3159,591.96,7.52272,0.732267,0.00857488,33.7699,7.03519,
2.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,3000,1000,698.589,56.7359,695.885,62.7403,759.866,162.066,1.11138,0.22551,32.3346,6.75144,
2.25,3000,3000,714.862,30.5718,693.628,27.9372,749.699,29.6861,0.719697,0.0332211,32.9714,6.81766,
2.25,3000,5000,715.726,20.5087,680.591,20.4865,753.101,22.1123,0.702377,0.0226642,33.9686,6.65861,
2.25,3000,7000,668.764,22.7137,629.128,18.9587,596.695,18.4472,0.75255,0.0243187,33.9002,6.9619,
2.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,5000,1000,631.885,60.5769,674.431,80.4614,740.604,84.8017,0.91541,0.14656,33.1987,7.27157,
2.25,5000,3000,705.927,26.6498,687.994,24.0555,735.099,28.4248,0.761236,0.0337446,33.9927,6.69175,
2.25,5000,5000,679.176,21.5251,758.918,21.9087,817.986,28.997,0.785083,0.0301342,33.9312,6.87986,
2.25,5000,7000,690.077,18.3755,663.036,19.7509,821.241,29.4124,0.7176,0.0218251,34.0717,7.11178,
2.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,1000,635.454,50.9755,575.228,57.2176,677.196,73.8967,1.16489,0.269892,34.3097,6.47749,
2.25,7000,3000,548.522,26.1845,549.284,24.7629,628.302,28.2597,0.873048,0.0638777,33.7096,6.88574,
2.25,7000,5000,574.291,21.5495,557.073,22.3617,595.596,21.5038,0.769457,0.0317581,34.2556,6.84571,
2.25,7000,7000,536.156,17.7247,485.081,16.7565,558.637,18.8615,0.748071,0.0269336,33.8279,7.21232,
2.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,1000,1000,627.061,18.8769,641.033,22.4792,787.589,23.3666,0.742233,0.0289272,39.8989,7.45501,
2.75,1000,3000,624.665,10.4255,631.979,9.95506,747.501,12.0984,0.742902,0.0137069,39.2478,7.34878,
2.75,1000,5000,649.386,8.84835,668.835,9.54489,705.983,8.94164,0.713078,0.00880711,39.9893,7.32007,
2.75,1000,7000,580.632,7.66373,572.397,7.65115,558.344,7.39098,0.712859,0.00850829,40.2207,7.74401,
2.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,3000,1000,749.357,72.4447,714.624,65.142,661.378,66.79,1.08122,0.202429,40.108,7.77362,
2.75,3000,3000,589.005,20.353,631.524,24.7219,727.58,25.4715,0.737169,0.034285,40.1175,7.20158,
2.75,3000,5000,649.193,20.7208,607.848,20.0796,725.666,20.1735,0.729172,0.0241969,40.016,7.62159,
2.75,3000,7000,607.863,16.8164,583.978,16.4878,645.171,17.6066,0.727503,0.0218547,39.81,7.8071,
2.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,5000,1000,509.935,40.4639,606.593,68.3862,950.364,109.928,1.4198,0.542871,39.6954,8.37718,
2.75,5000,3000,639.146,27.8603,614.787,21.9116,729.994,33.4339,0.837642,0.0528651,39.9348,7.39513,
2.75,5000,5000,584.901,15.4342,632.957,20.4601,785.228,25.6792,0.73532,0.0259612,40.6075,7.45736,
