energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,747.679,26.2741,837.79,30.5508,1053.32,36.284,0.74204,0.0275554,28.4656,6.57951,
0.75,1000,3000,828.866,16.9166,832.543,16.0481,968.556,17.8887,0.694011,0.0110537,29.0996,6.89304,
0.75,1000,5000,896.25,14.9045,929.768,15.6373,895.745,12.6354,0.702606,0.00838815,29.1406,6.95313,
0.75,1000,7000,764.454,10.1294,812.414,10.9812,733.236,9.58468,0.697876,0.00795319,29.3312,7.02622,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,870.735,92.358,894.903,99.1778,883.448,90.0942,0.983517,0.158619,27.8579,6.11451,
0.75,3000,3000,815.864,36.9527,849.995,37.4587,950.629,41.6166,0.825085,0.0467946,28.6139,6.77269,
0.75,3000,5000,901.774,29.4678,867.622,29.6245,829.303,25.8029,0.728792,0.023319,29.2616,7.19602,
0.75,3000,7000,835.665,23.8786,854.503,25.324,829.642,31.1745,0.745065,0.0220273,29.2916,7.10695,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,960.244,241.34,825.259,79.8772,1712.84,269.268,1.1883,0.315254,29.2217,6.71011,
0.75,5000,3000,802.014,35.9016,846.777,36.1604,1068.26,50.8587,0.747866,0.0384449,29.0164,7.13425,
0.75,5000,5000,922.223,38.9705,931.835,35.583,1055.06,41.2945,0.717769,0.0251274,29.2899,7.2031,
0.75,5000,7000,839.872,23.6514,838.091,23.6723,1064.51,46.1619,0.690492,0.0220035,29.2528,7.28088,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,1011.93,208.57,1034.45,157.478,713.048,90.282,1.16115,0.319726,29.1885,7.18894,
0.75,7000,3000,590.458,34.2808,708.83,37.3834,655.673,31.828,0.776802,0.0422415,29.2807,7.08261,
0.75,7000,5000,703.663,24.5782,723.281,30.4536,687.474,27.8532,0.758755,0.0290722,29.4187,7.2531,
