energy,rho,z,px,spx,py,spy,pz,spz,dtheta,sdx,dy,sdy,dz,sdz,emean,eres,
1.75,3000,7000,273.286,13.7653,239.166,12.1411,317.36,12.8771,1.31305,0.695304,1.03992,0.312809,1.111,0.367561,13.1672,0.666315,
1.75,5000,1000,286.002,19.1051,287.847,21.1335,437.525,39.6933,1.57468,1.13302,2.56853,3.93768,0.758551,0.418041,11.4632,0.644621,
1.75,5000,3000,307.495,12.1566,320.062,12.2232,431.829,18.5462,0.806293,0.140627,1.09844,0.27706,0.681578,0.125359,12.3075,0.492202,
1.75,5000,5000,335.511,9.78882,343.776,11.6467,399.01,11.6149,0.705023,0.0638735,0.838602,0.112661,0.638538,0.0630226,12.7097,0.33449,
1.75,5000,7000,275.618,14.6784,266.691,13.1519,357.029,19.8772,1.37632,0.713237,1.21045,0.45745,0.791414,0.15824,13.6299,0.523685,
1.75,7000,1000,321.394,57.0395,222.03,31.6967,805.819,258.277,5.62735,5.05435,5.03342,4.40514,0.623576,0.631682,18.9103,4.44793,
1.75,7000,3000,236.175,18.5907,294.939,24.8199,558.3,55.4221,5.52706,2.91022,1.41144,0.944438,1.06451,0.817501,11.3511,0.85305,
1.75,7000,5000,247.285,13.4421,288.156,17.7448,550.44,32.4994,1.15946,0.444036,1.10118,0.392462,0.900648,0.332701,13.3845,0.818411,
1.75,7000,7000,309.094,46.0872,232.967,20.61,621.8,79.2894,1.16079,0.679429,1.66062,1.55163,4.63083,4.50397,15.8849,1.08577,
2.25,1000,1000,322.941,9.01125,321.324,9.78324,402.332,13.4053,1.05949,0.197944,0.757647,0.0801116,0.774204,0.141564,13.2034,0.372132,
2.25,1000,3000,329.36,5.19481,321.989,5.6011,392.795,6.68039,0.798802,0.0465014,0.99592,0.0849691,0.627088,0.0362214,13.5115,0.211168,
2.25,1000,5000,346.747,4.63899,345.498,4.29973,341.925,4.04553,0.891975,0.0517409,0.914247,0.0539866,0.68738,0.0348035,13.8804,0.174319,
2.25,1000,7000,245.623,5.72474,247.698,5.86169,303.695,6.07357,0.848964,0.0690525,0.993034,0.10375,0.791045,0.0838096,14.8331,0.263405,
2.25,3000,1000,350.937,26.1278,330.452,27.1669,418.38,35.9743,1.13259,0.5881,1.69394,1.55488,0.717027,0.302455,13.4782,1.01972,
2.25,3000,3000,370.95,14.0751,311.417,11.7115,386.719,14.6334,0.847855,0.167774,1.34939,0.547557,0.804225,0.161485,12.3737,0.54996,
2.25,3000,5000,369.044,11.2375,328.616,8.45944,372.299,9.21992,0.710351,0.0598336,0.953351,0.143632,0.625438,0.0510459,13.2856,0.323102,
2.25,3000,7000,212.968,10.9367,239.673,12.2461,303.609,13.5121,1.19209,0.411443,1.1584,0.420537,0.866178,0.209519,15.9147,0.742667,
2.25,5000,1000,324.528,24.1293,323.141,25.4892,417.847,39.2752,1.36311,0.921044,1.39256,0.943592,1.95558,2.44078,11.7909,0.785832,
2.25,5000,3000,296.795,10.5839,300.692,11.6261,392.474,16.6089,1.24336,0.479195,2.36056,3.82306,0.966795,0.310462,13.2452,0.485196,
2.25,5000,5000,347.056,10.2279,337.486,11.0287,382.884,10.9647,0.695991,0.0657324,0.939995,0.171588,0.689086,0.0697281,13.7212,0.415898,
2.25,5000,7000,264.684,12.347,282.36,15.8636,348.628,16.0648,1.72007,1.11968,1.0049,0.306775,2.41791,3.72747,14.4969,0.595999,
