energy,rho,z,px,spx,py,spy,pz,spz,dtheta,sdx,dy,sdy,dz,sdz,emean,eres,
6.25,1000,1000,271.543,7.62667,263.779,8.22088,325.132,9.6719,0.838007,0.103083,0.974866,0.146988,0.639981,0.0973634,21.2576,0.634113,
6.25,1000,3000,271.875,4.78611,267.47,4.4604,310.326,5.46947,0.921962,0.0711606,1.08945,0.112873,0.6858,0.0496073,21.3663,0.356035,
6.25,1000,5000,303.858,4.05834,300.389,4.18483,305.28,3.84965,0.911261,0.054931,0.965733,0.061255,0.629024,0.0269345,22.3321,0.283247,
6.25,1000,7000,212.434,4.8248,215.691,4.95897,249.176,4.79055,0.993225,0.110313,0.902319,0.079449,0.698948,0.0485597,23.4841,0.50685,
6.25,3000,1000,255.824,16.7612,252.411,18.966,375.713,29.1521,1.34274,0.946321,0.901836,0.268911,1.35312,1.45638,20.2881,1.55196,
6.25,3000,3000,266.144,10.1625,271.001,9.50891,322.751,11.6791,0.737237,0.104897,0.892589,0.186686,0.808022,0.116332,21.6366,0.783743,
6.25,3000,5000,297.846,8.15847,301.556,8.78656,302.157,8.06763,1.05462,0.181569,0.931912,0.14012,0.845753,0.106085,20.8374,0.643345,
6.25,3000,7000,201.225,12.9161,197.609,10.3911,252.566,11.3649,0.914907,0.199466,0.922427,0.213291,1.95432,1.74163,22.4222,0.924595,
6.25,5000,1000,246.428,19.1333,235.367,18.6296,324.999,26.6365,1.12928,0.498083,1.05465,0.385017,3.30284,3.03213,17.6499,1.07075,
6.25,5000,3000,239.325,8.59103,260.579,9.73393,278.942,10.3344,0.925113,0.183305,0.713462,0.0863164,0.687122,0.126503,19.7619,0.718254,
6.25,5000,5000,281.938,8.50414,292.41,9.23612,352.776,10.4222,0.863919,0.110469,1.05472,0.205647,0.796107,0.0970287,21.8132,0.59956,
6.25,5000,7000,244.966,15.251,244.403,11.3093,311.839,14.3218,1.06665,0.338259,0.918522,0.197015,1.44105,0.844246,23.3409,0.894764,
6.25,7000,1000,218.377,45.0311,248.583,53.4361,746.037,340.898,5.39369,4.83173,1.46101,1.69494,2.20399,2.50171,28.5236,6.31197,
6.25,7000,3000,220.709,16.3639,196.344,14.9713,684.156,133.712,5.24868,4.02637,2.85195,3.0115,1.11723,0.928948,20.3734,1.90996,
6.25,7000,5000,235.663,11.5046,250.305,14.0559,607.82,42.761,1.00874,0.297053,1.00609,0.26001,0.692434,0.170496,23.9647,1.11959,
6.25,7000,7000,217.922,19.6918,196.702,17.6717,708.908,97.2104,3.28288,2.97292,2.42155,3.45902,2.66509,3.1489,22.5392,2.36651,
