energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,717.185,20.0309,697.269,20.6425,783.506,22.6209,0.695171,0.0222786,59.4724,9.8058,
0.75,1000,3000,738.16,12.4263,703.447,12.0616,748.546,11.6796,0.685272,0.00995737,59.6032,10.3046,
0.75,1000,5000,757.333,10.8326,752.055,11.3312,731.413,9.53168,0.705309,0.00841517,60.0762,10.5752,
0.75,1000,7000,797.078,8.94834,788.354,9.13133,687.91,7.08519,0.711092,0.00728126,61.2726,10.4872,
0.75,1000,9000,473.505,8.28152,467.307,8.83707,554.052,10.0829,0.700975,0.01049,59.3602,11.6886,
0.75,3000,1000,681.571,64.5849,662.17,58.9955,649.225,53.3842,0.940909,0.149123,58.7552,10.3375,
0.75,3000,3000,663.957,25.4493,642.997,29.7954,775.3,28.7944,0.757515,0.0367108,58.9924,9.34803,
0.75,3000,5000,750.244,23.5775,667.689,18.9843,758.224,22.6245,0.741877,0.0252291,58.9673,10.4953,
0.75,3000,7000,803.888,19.0379,795.141,20.291,825.997,22.3354,0.734224,0.0196592,60.8728,10.5089,
0.75,3000,9000,505.724,18.209,495.634,21.0125,738.475,35.976,0.764951,0.0418684,59.1333,11.4474,
0.75,5000,1000,572.83,44.9387,689.733,68.1252,807.155,80.5878,1.15445,0.267034,60.0878,11.8331,
0.75,5000,3000,654.143,29.3671,653.21,24.8855,825.857,39.6794,0.757665,0.0378664,59.774,10.1026,
0.75,5000,5000,738.223,24.4667,701.768,21.9088,838.938,26.3185,0.754269,0.0270074,59.5422,10.8721,
0.75,5000,7000,799.464,21.5479,821.773,23.3484,912.228,30.013,0.753277,0.0208941,61.2796,10.9494,
0.75,5000,9000,497.032,21.6121,524.557,23.0597,1143.11,67.0266,0.795259,0.0418765,60.2736,11.5192,
0.75,7000,1000,768.462,76.1528,782.458,114.111,491.937,35.6547,1.09584,0.232862,60.1211,10.0091,
0.75,7000,3000,652.233,29.8658,689.143,26.7035,557.043,22.6242,0.785178,0.0367167,60.3503,10.063,
0.75,7000,5000,727.986,27.1206,701.068,26.3917,584.769,17.896,0.754354,0.02447,62.1751,10.4035,
0.75,7000,7000,736.933,21.2305,725.467,18.9223,580.95,15.7905,0.731735,0.0208012,61.6311,10.8661,
0.75,7000,9000,492.453,21.5093,554.399,28.8038,481.637,20.6996,0.758753,0.0427556,59.18,11.8597,
0.75,9000,1000,613.206,160.812,389.098,101.804,349.476,78.3276,1.05482,0.345867,57.0825,11.192,
0.75,9000,3000,404.706,27.9396,569.694,58.5561,244.282,21.7155,1.25244,0.273895,59.0594,10.1511,
0.75,9000,5000,561.319,34.65,529.795,39.7601,227.958,14.0298,0.770655,0.0509189,59.3946,10.9797,
0.75,9000,7000,592.394,34.9453,660.61,38.5015,244.654,18.0206,0.707285,0.0436733,60.6502,11.7566,
0.75,9000,9000,490.701,50.6552,477.609,47.0129,294.842,38.9466,1.21973,0.281965,57.4634,10.9338,
1.25,1000,1000,543.093,13.5804,573.395,16.3193,685.799,19.375,0.715682,0.0226754,82.2078,12.5873,
1.25,1000,3000,588.721,9.1685,578.06,9.16314,633.781,9.75603,0.72953,0.0119589,82.8892,12.3808,
1.25,1000,5000,610.738,8.06668,601.944,7.48825,622.644,7.48949,0.745067,0.00947776,83.4301,12.2662,
1.25,1000,7000,647.091,7.1427,653.921,7.12507,564.695,5.63357,0.682112,0.00621644,85.4548,12.3431,
1.25,1000,9000,402.228,6.79023,411.695,7.17406,458.426,7.72267,0.72676,0.0121687,82.3314,13.6015,
1.25,3000,1000,526.386,45.3671,591.861,59.7467,743.857,73.0796,1.22145,0.332953,82.1385,12.8377,
1.25,3000,3000,542.123,21.984,538.998,20.8421,604.785,22.8176,0.779173,0.041198,81.7719,12.0708,
1.25,3000,5000,559.424,16.6983,532.689,15.5256,651.312,19.2792,0.776705,0.0292071,82.3862,12.5879,
1.25,3000,7000,668.371,17.5589,675.272,17.8618,683.877,17.9134,0.676781,0.0175127,84.9401,12.4241,
1.25,3000,9000,415.629,13.8023,420.185,15.0056,604.883,28.5008,0.751373,0.0395488,82.6435,14.1488,
1.25,5000,1000,512.284,47.2907,614.964,60.874,685.613,72.0774,1.84283,0.895614,81.2196,12.3413,
1.25,5000,3000,532.836,18.6769,517.243,18.0108,645.83,26.8792,0.808038,0.0478265,83.6244,12.4252,
1.25,5000,5000,581.495,16.4394,564.362,16.7249,659.333,22.688,0.764089,0.0272063,83.8481,12.3433,
1.25,5000,7000,657.443,17.2333,660.815,17.6808,764.875,21.6548,0.702077,0.0174491,85.499,13.3819,
1.25,5000,9000,452.65,18.2775,456.671,19.2315,1002.05,73.3277,0.795371,0.044788,83.0522,13.7467,
1.25,7000,1000,524.263,40.1649,497.866,34.6664,441.904,37.1531,0.92454,0.125138,84.0856,12.8178,
1.25,7000,3000,555.075,22.2847,489.985,19.0033,494.7,18.2929,0.843874,0.050714,84.5643,11.8405,
1.25,7000,5000,548.083,17.0395,541.856,19.0381,514.258,15.306,0.738826,0.0242833,85.3146,12.4948,
1.25,7000,7000,581.568,18.2917,612.101,21.1449,502.577,14.1934,0.726297,0.0199758,86.173,12.3848,
1.25,7000,9000,408.035,19.9613,415.668,16.915,408.267,17.338,0.788731,0.0452367,85.9118,13.1192,
1.25,9000,1000,531.692,135.756,428.899,77.6628,406.03,126.062,2.59255,4.2402,83.2765,12.829,
1.25,9000,3000,449.31,37.7434,347.586,34.2251,243.077,20.6102,1.02946,0.155676,82.2371,13.5588,
1.25,9000,5000,475.465,32.7204,491.556,29.0742,257.642,18.9723,1.11529,0.166022,81.658,12.6618,
1.25,9000,7000,505.06,31.8038,490.396,25.7687,256.857,14.9601,0.74592,0.043134,84.8096,13.7766,
1.25,9000,9000,478.418,35.0097,400.215,29.5015,295.834,30.1824,1.28363,0.314964,81.4397,13.2675,
1.75,1000,1000,504.339,14.2677,506.87,13.8753,588.621,17.1316,0.784857,0.0316412,106.673,13.8497,
1.75,1000,3000,505.497,7.55186,513.017,8.06601,580.494,8.32886,0.727927,0.0116748,107.204,14.0809,
1.75,1000,5000,503.606,6.37279,519.332,6.39419,544.058,5.85649,0.722972,0.00897163,108.469,14.0468,
1.75,1000,7000,572.049,5.9746,559.579,6.23066,496.319,4.56283,0.685982,0.0062734,110.871,14.5666,
1.75,1000,9000,369.169,5.9398,360.355,5.62001,410.622,6.94407,0.70052,0.0113197,107.694,15.233,
1.75,3000,1000,509.585,41.6227,463.77,29.0484,569.592,38.3198,1.43099,0.402873,107.409,13.6358,
1.75,3000,3000,478.568,15.0401,489.588,19.5386,529.861,18.5482,0.736458,0.0332898,106.645,14.5265,
1.75,3000,5000,456.619,11.9355,482.363,14.2609,509.285,13.4137,0.740178,0.0237533,107.062,13.9838,
1.75,3000,7000,593.269,15.4777,600.904,16.1388,539.478,12.8347,0.727703,0.0203142,110.191,14.1168,
1.75,3000,9000,384.487,14.5293,344.272,14.648,502.042,20.8864,0.736465,0.0376846,107.965,14.9594,
1.75,5000,1000,434.385,28.164,403.628,33.9454,659.884,53.1888,0.987606,0.164957,106.608,14.1522,
1.75,5000,3000,494.063,20.1993,425.977,17.8652,527.498,20.1394,0.799566,0.0501996,107.219,13.8111,
1.75,5000,5000,464.034,13.6978,487.291,12.7101,548.948,16.797,0.771591,0.03074,109.302,13.9652,
1.75,5000,7000,596.617,14.7053,591.733,15.6469,690.987,19.77,0.714161,0.0186613,111.926,14.4576,
1.75,5000,9000,424.779,18.8303,386.448,15.5261,550.384,28.8554,0.843137,0.0506106,107.509,14.63,
1.75,7000,1000,406.432,36.9785,411.718,53.5493,349.472,31.2531,1.31135,0.368068,109.851,14.7336,
1.75,7000,3000,481.038,19.4519,435.048,17.6001,435.006,16.54,0.884655,0.0604844,110.929,14.5909,
1.75,7000,5000,459.979,13.5279,452.888,13.9914,426.509,13.0435,0.704581,0.0243537,110.578,14.9375,
1.75,7000,7000,493.999,13.4901,521.616,13.6435,429.588,12.9344,0.707853,0.0193077,113.424,14.7117,
1.75,7000,9000,379.25,13.8626,371.009,13.9256,360.84,18.4653,0.83095,0.0486332,109.607,15.7961,
1.75,9000,1000,790.816,334.079,554.381,100.693,222.878,45.6162,6.9905,6.29722,105.801,15.4121,
1.75,9000,3000,323.669,25.5989,385.247,31.6186,300.4,41.9638,1.36148,0.415259,107.036,16.5876,
1.75,9000,5000,377.282,22.6156,366.593,21.0072,234.77,13.7267,0.808635,0.0669762,107.92,13.9174,
