energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,941.196,36.5323,856.445,30.2682,941.263,32.421,0.732345,0.0239699,29.4595,7.01883,
0.75,1000,3000,911.551,16.6125,912.254,17.3885,1018.95,20.9283,0.727939,0.0113191,29.903,6.99821,
0.75,1000,5000,1022.04,19.1024,1011.28,16.4063,959.97,14.0241,0.737574,0.00943658,30.3121,6.97221,
0.75,1000,7000,950.501,11.3035,1001.13,12.1428,853.467,10.4865,0.696988,0.00699737,30.8402,7.02282,
0.75,1000,9000,569.219,12.1981,527.602,10.7756,660.119,13.4186,0.742111,0.0127508,29.9385,7.23217,
0.75,3000,1000,981.306,88.9579,1129.85,157.526,1176,154.292,1.11051,0.237161,29.3772,7.16098,
0.75,3000,3000,908.003,38.0144,917.632,41.4897,967.878,47.2648,0.77715,0.0400548,29.5656,6.4705,
0.75,3000,5000,1018.06,41.79,1081.68,51.6208,996.298,32.2991,0.764813,0.0280719,29.9022,6.78881,
0.75,3000,7000,986.57,24.7474,963.292,24.0832,916.319,24.0493,0.740716,0.0199046,30.8539,6.95282,
0.75,3000,9000,542.347,26.8753,518.602,24.5069,817.87,39.867,0.730657,0.0331039,30.025,7.24328,
0.75,5000,1000,990.074,117.952,811.31,110.355,1369.46,356.575,0.84695,0.1354,29.9494,7.09616,
0.75,5000,3000,818.937,39.7948,980.269,44.6829,1080.11,50.9072,0.793425,0.0430892,29.721,6.42187,
0.75,5000,5000,945.537,36.7335,979.21,42.2903,987.723,36.4416,0.756703,0.0263722,30.001,6.83996,
0.75,5000,7000,985.707,26.606,996.687,24.8634,1028.63,27.5808,0.699864,0.0188113,30.9161,7.20542,
0.75,5000,9000,684.573,38.1845,610.486,33.4065,1142.74,97.0194,0.758569,0.0358886,30.1087,7.26711,
0.75,7000,1000,1059.94,146.293,860.394,121.359,528.653,67.6718,1.23997,0.293528,30.9506,6.62898,
0.75,7000,3000,896.19,41.0162,876.077,42.6731,716.995,33.2179,0.862654,0.0477876,30.5872,6.78098,
0.75,7000,5000,853.37,39.3227,959.139,39.3608,716.88,27.0089,0.727442,0.0241603,30.7997,7.02756,
0.75,7000,7000,973.736,26.5109,940.694,30.8747,702.286,21.0599,0.753338,0.0214324,31.1761,7.21692,
0.75,7000,9000,628.953,28.9457,531.413,26.2705,664.904,32.8653,0.713422,0.0358032,29.5492,7.53582,
0.75,9000,1000,2309.34,1032.79,3051.24,1294.51,1246.91,2045.91,1.98938,1.84903,28.1526,8.01817,
0.75,9000,3000,1393.22,251.666,840.996,178.264,272.081,35.7389,0.967865,0.142924,29.4245,6.2101,
0.75,9000,5000,709.13,79.1073,716.114,60.8817,246.374,17.523,0.883408,0.0820322,29.6558,7.3843,
0.75,9000,7000,746.53,40.0587,785.006,53.5469,318.597,30.5424,0.750146,0.0403905,30.6177,7.39963,
0.75,9000,9000,746.568,113.118,832.885,222.062,3796.94,655.779,1.17924,0.236559,28.6182,7.46549,
1.25,1000,1000,733.448,20.3303,709.883,20.9032,844.114,26.0439,0.702846,0.0227516,41.1636,8.32349,
1.25,1000,3000,756.985,12.7064,733.379,14.3815,799.209,13.6439,0.728857,0.012203,41.3696,7.88329,
1.25,1000,5000,779.608,11.1744,773.099,11.3065,772.799,9.61523,0.72857,0.00896805,42.1258,8.13481,
