energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,568.98,23.5252,617.755,27.1639,681.06,25.136,0.746517,0.041345,26.5815,6.91452,
0.75,1000,3000,633.981,13.9605,623.402,11.7681,625.535,12.0456,0.721815,0.0149242,26.8762,7.04813,
0.75,1000,5000,440.456,12.4593,385.531,10.2324,466.559,15.7617,0.726471,0.0242466,26.0635,6.84605,
0.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,620.197,56.3179,714.337,87.4342,1152.69,197.108,1.21129,0.295986,26.7216,6.48267,
0.75,3000,3000,591.235,23.9407,638.189,26.1844,614.617,25.3877,0.768046,0.0440059,27.436,6.97576,
0.75,3000,5000,453.426,24.728,442.599,28.7737,658.738,48.9696,0.74923,0.0675934,25.2162,6.53443,
0.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,674.053,133.267,520.592,87.9553,2485.03,1172.08,1.92886,1.46099,25.4034,7.38499,
0.75,5000,3000,400.171,38.7838,440.939,40.0417,1131.83,285.572,1.3507,0.346499,25.3156,7.22651,
0.75,5000,5000,506.029,106.968,353.07,64.942,2508.9,1101.58,4.769,5.88361,24.6574,6.93374,
0.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,540.761,18.2005,504.572,17.0165,620.184,21.1902,0.738575,0.0334231,39.0202,7.85873,
1.25,1000,3000,516.278,9.97881,517.547,10.5373,523.724,10.8319,0.719809,0.0156337,39.5559,7.97802,
1.25,1000,5000,350.914,10.2095,345.435,10.6956,379.384,10.7084,0.77724,0.027811,38.0043,8.44226,
1.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,575.972,71.9708,525.047,53.3389,662.298,85.876,1.01084,0.233162,39.3128,8.35266,
1.25,3000,3000,475.545,21.4865,507.62,19.8927,563.452,22.0268,0.738747,0.03781,39.6523,8.06073,
1.25,3000,5000,323.796,21.9118,345.192,20.9942,349.248,23.5146,1.04067,0.129537,37.4923,9.14937,
1.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,391.158,113.778,517.441,110.058,3536.1,2143.8,2.22297,2.55724,40.0151,10.4924,
1.25,5000,3000,392.729,28.1117,322.954,25.9317,521.549,50.5559,1.45014,0.464917,39.0477,8.74022,
1.25,5000,5000,299.306,28.0729,315.386,33.8888,403.498,55.1743,1.35025,0.596423,38.847,9.22683,
1.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,486.03,17.3695,466.166,16.5959,522.601,20.2925,0.742695,0.0375938,51.8207,8.91217,
1.75,1000,3000,470.468,8.76262,448.179,8.16811,486.543,9.34571,0.765011,0.0175803,52.9052,9.00287,
1.75,1000,5000,287.868,7.91468,306.29,9.5141,325.573,8.61716,0.777083,0.0262588,51.0094,9.83901,
1.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,447.864,31.4134,473.483,34.3235,563.494,73.0565,1.20934,0.235408,52.1074,9.47112,
1.75,3000,3000,453.28,16.0696,424.463,15.3297,514.217,19.637,0.823405,0.0460931,53.1388,9.31209,
1.75,3000,5000,291.356,15.6596,342.614,22.1108,296.199,17.2864,0.901329,0.101752,50.4014,8.6941,
1.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,382.532,76.4845,436.908,67.8664,1052.68,419.231,1.59402,0.920903,50.6771,10.2241,
1.75,5000,3000,348.146,28.3186,330.893,20.7424,459.085,44.229,1.14552,0.23265,50.6337,8.36448,
1.75,5000,5000,253.52,26.0495,249.903,26.8243,298.978,28.2165,1.35767,0.514853,49.4197,9.89567,
1.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,1000,1000,443.947,16.5363,439.436,13.5466,505.05,17.5852,0.73264,0.0335192,65.002,10.1065,
2.25,1000,3000,427.883,8.32264,416.187,7.98217,436.024,8.11019,0.752458,0.0169375,66.7381,10.3234,
2.25,1000,5000,286.411,8.37198,301.065,8.79342,305.559,8.48374,0.753871,0.026718,64.0655,10.8021,
2.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,3000,1000,470.35,35.0331,499.605,43.1523,545.806,52.7493,1.17351,0.311832,66.6638,10.6524,
2.25,3000,3000,422.599,17.0818,402.332,14.7746,484.587,18.5566,0.827612,0.0450052,67.1732,10.1022,
2.25,3000,5000,275.955,20.5836,279.635,15.2713,289.713,15.9131,1.02301,0.135312,64.3994,9.60184,
2.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,5000,1000,343.19,83.8417,429.405,108.262,3016,2323.01,7.23901,4.42305,64.1394,11.0913,
2.25,5000,3000,261.216,17.1431,238.443,14.9519,385.7,36.8497,0.912848,0.143144,65.0923,9.69236,
2.25,5000,5000,198.026,19.8878,214.865,22.4047,315.128,34.859,1.14345,0.325343,61.4175,9.99145,
2.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,1000,1000,393.405,13.9228,418.512,16.6282,455.363,14.0591,0.857712,0.0459403,79.2707,11.3599,
2.75,1000,3000,392.036,7.65108,395.442,7.02456,404.946,7.43485,0.706331,0.0144251,80.179,11.1866,
2.75,1000,5000,268.659,7.40732,252.798,7.78774,294.924,8.40786,0.772837,0.0268417,77.3175,11.8669,
2.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,3000,1000,437.451,27.4485,466.416,33.8841,426.389,35.1277,0.943987,0.157994,79.4124,11.8249,
2.75,3000,3000,376.438,11.9458,376.081,11.7564,444.139,16.4189,0.757091,0.0359138,81.4792,10.7964,
2.75,3000,5000,263.413,13.585,294.857,17.5083,283.498,18.4891,1.19404,0.203249,78.7359,11.4686,
2.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,5000,1000,259.032,43.916,279.87,50.0989,724.518,332.581,1.55889,0.924429,76.2766,14.4039,
2.75,5000,3000,304.279,25.6188,298.198,24.6955,577.805,56.6628,1.04116,0.226492,76.9548,11.6451,
2.75,5000,5000,189.049,23.0799,193.832,23.2328,291.86,81.9876,1.58755,0.876794,74.4225,11.6065,
2.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,1000,1000,343.435,11.6269,372.555,13.5733,407.572,12.8237,0.705207,0.0361677,93.1096,11.8384,
3.25,1000,3000,372.601,7.72708,381.967,6.71801,393.609,6.8169,0.725864,0.0150191,93.3798,12.2839,
3.25,1000,5000,227.272,6.03492,240.665,6.93297,269.706,7.52036,0.733139,0.0236093,90.4114,12.7973,
3.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
3.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,3000,1000,364.718,26.0359,416.985,27.2322,425.395,47.8446,0.885813,0.146328,93.3551,12.666,
3.25,3000,3000,359.206,13.4517,357.991,12.6086,398.947,13.9548,0.727545,0.0386461,94.0386,12.3113,
3.25,3000,5000,249.276,13.2855,248.876,11.4516,292.544,16.1073,0.801639,0.0807359,91.2444,12.8113,
3.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
3.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,5000,1000,346.922,89.6706,249.983,46.4224,500.054,129.12,1.78905,1.41798,91.0157,14.3426,
3.25,5000,3000,242.63,17.2801,232.977,17.4926,357.098,47.7079,0.929078,0.127658,93.0661,12.2894,
3.25,5000,5000,172.378,35.7631,173.282,17.4071,359.184,43.1085,1.20842,0.4143,87.6686,15.3247,
3.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
3.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
3.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
3.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
3.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
3.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
3.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
3.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
3.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
3.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
3.75,1000,1000,375.519,12.1555,342.991,10.7061,399.853,11.4451,0.703117,0.0296253,105.873,13.1089,
3.75,1000,3000,353.001,6.40335,366.26,6.74149,374.319,6.87014,0.724499,0.0167788,106.934,12.6374,
3.75,1000,5000,230.826,5.98828,233.646,7.3381,248.871,6.62172,0.743388,0.0260457,104.321,13.5816,
3.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
3.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
3.75,3000,1000,361.537,26.7039,366.975,28.0286,428.054,36.1563,1.11825,0.233216,107.336,12.5933,
3.75,3000,3000,335.782,12.3938,327.089,9.05125,381.247,13.1698,0.735884,0.0414899,108.106,13.0105,
3.75,3000,5000,278.3,16.7676,226.295,11.784,299.599,18.8484,0.982018,0.142201,105.392,13.1002,
3.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
3.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
3.75,5000,1000,282.811,38.7666,270.575,47.8791,564.235,130.563,3.41298,3.85148,104.668,14.8445,
3.75,5000,3000,281.529,23.3332,267.53,21.3035,396.687,33.8864,1.08296,0.215807,103.152,14.6622,
3.75,5000,5000,182.481,14.8171,210.063,24.2076,303.875,30.5171,1.3197,0.531708,101.791,15.0598,
3.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
3.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
3.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
3.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
3.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
3.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
3.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
3.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
3.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
3.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
3.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
3.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
4.25,1000,1000,367.506,11.9899,361.884,13.1666,386.297,14.0074,0.763012,0.0411902,119.075,13.5636,
4.25,1000,3000,348.943,7.19192,346.933,6.47927,359.906,6.74511,0.705087,0.0149793,121.074,13.88,
4.25,1000,5000,246.639,6.77979,233.113,6.0752,251.1,7.11354,0.724275,0.0231183,116.881,14.6399,
4.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
4.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
4.25,3000,1000,337.702,27.9543,306.761,29.8913,408.669,29.5825,1.0529,0.230527,121.364,14.9468,
4.25,3000,3000,353.836,12.2231,334.43,12.1485,374.295,13.6831,0.808448,0.0443399,121.529,13.0448,
4.25,3000,5000,227.034,10.9702,226.167,12.6902,251.974,13.1038,0.74078,0.0643447,119.712,13.9216,
4.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
4.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
4.25,5000,1000,233.235,29.7929,238.976,80.8949,579.02,169.913,1.36873,0.645492,113.973,14.5368,
4.25,5000,3000,236.266,14.4375,224.077,13.232,375.644,25.4069,1.14532,0.237545,118.629,16.2758,
4.25,5000,5000,160.949,12.5127,198.867,20.4762,283.177,40.2645,1.67749,0.893563,114.709,14.9701,
4.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
4.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
4.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
4.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
4.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
4.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
4.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
4.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
4.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
4.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
4.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
4.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
4.75,1000,1000,332.387,11.054,292.367,10.6693,390.281,14.6487,0.750429,0.0354805,132.232,15.1094,
4.75,1000,3000,318.83,5.52744,337.542,6.09824,340.227,5.7835,0.718424,0.0159235,134.022,15.0187,
4.75,1000,5000,214.227,6.25763,224.967,6.37408,239.954,6.29307,0.746414,0.0284824,129.232,15.6039,
4.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
4.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
4.75,3000,1000,344.616,22.5768,375.733,29.871,469.61,46.9319,1.1972,0.324734,133.562,14.0915,
4.75,3000,3000,334.439,11.8103,309.511,9.36319,372.812,12.1438,0.768546,0.0362967,135.719,14.3681,
4.75,3000,5000,229.046,13.23,207.093,12.4412,263.526,11.5945,0.818576,0.0771876,131.848,15.7623,
4.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
4.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
4.75,5000,1000,217.349,28.4449,277.196,40.977,408.636,73.8969,1.59929,1.09402,127.38,15.8691,
4.75,5000,3000,218.762,11.5613,202.932,15.57,362.617,30.9902,1.01436,0.189137,130.908,15.595,
4.75,5000,5000,166.062,20.4443,132.869,12.4921,183.592,17.4973,1.16785,0.414469,127.913,17.0376,
4.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
4.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
4.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
4.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
4.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
4.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
4.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
4.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
4.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
4.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
4.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
4.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
5.25,1000,1000,322.747,10.3231,302.697,9.42576,377.28,12.1489,0.768158,0.0406188,145.556,14.3171,
5.25,1000,3000,323.994,5.85223,335.219,5.41882,333.038,5.45511,0.690421,0.0131572,148.251,15.6671,
5.25,1000,5000,223.515,6.79779,231.824,7.23452,243.354,6.73464,0.708474,0.0232767,143.532,16.137,
5.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
5.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
5.25,3000,1000,282.914,23.49,338.452,27.6895,331.758,27.5663,1.37782,0.427609,147.371,14.7223,
5.25,3000,3000,299.275,9.15138,301.95,10.2911,327.32,10.7597,0.754416,0.0442179,149.166,16.1803,
5.25,3000,5000,230.9,13.5148,223.958,13.243,246.343,11.4516,0.82395,0.0739354,144.884,17.0535,
5.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
5.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
5.25,5000,1000,256.771,53.0107,205.276,29.2039,694.607,253.701,1.56347,1.13142,146.097,14.7409,
5.25,5000,3000,233.416,16.0535,215.842,16.6569,315.603,27.1395,0.863864,0.133181,145.059,15.9133,
5.25,5000,5000,183.581,18.3461,162.493,19.5058,186.825,26.2176,1.19005,0.397424,139.41,18.3354,
5.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
5.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
5.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
5.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
5.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
5.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
5.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
5.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
5.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
5.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
5.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
5.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
5.75,1000,1000,295.452,9.48138,319.678,10.5769,349.281,10.7599,0.685266,0.0384176,160.508,15.7621,
5.75,1000,3000,322.812,6.1754,318.263,5.6015,333.317,5.56863,0.690609,0.0138341,161.036,16.0908,
5.75,1000,5000,215.166,6.97191,224.653,6.64125,241.763,6.23612,0.768481,0.0278725,156.569,16.9886,
5.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
5.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
5.75,3000,1000,342.37,26.5693,295.074,20.2398,357.06,24.4426,1.07515,0.212209,162.967,15.0454,
5.75,3000,3000,306.763,10.1164,302.093,11.737,350.432,12.0248,0.813323,0.0555058,162.772,15.7136,
5.75,3000,5000,202.994,11.8104,214.348,11.0409,234.538,13.7475,1.02327,0.134333,158.249,17.4633,
