energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,415.222,14.1671,427.256,14.1188,507.968,16.4624,0.735324,0.0343713,106.909,16.8056,
0.75,1000,3000,428.02,6.89483,421.477,7.26328,496.695,8.46702,0.727355,0.015155,108.718,17.8186,
0.75,1000,5000,382.932,6.41596,375.992,6.88954,399.78,6.04486,0.721965,0.0116289,106.755,19.0736,
0.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,420.067,32.1025,426.607,35.552,499.966,42.6626,0.988059,0.177994,106.879,17.0147,
0.75,3000,3000,414.23,13.8728,414.262,15.7613,535.475,20.4051,0.709061,0.0336764,108.546,16.5391,
0.75,3000,5000,392.445,12.5957,376.983,14.1984,460.211,14.9177,0.766459,0.031493,107.873,19.0236,
0.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,454.114,44.7792,373.687,27.4978,1513.43,176.13,1.08301,0.251334,109.731,18.9807,
0.75,5000,3000,401.359,17.9762,389.971,17.9165,1326,70.3475,0.803935,0.050199,107.467,18.2763,
0.75,5000,5000,407.043,19.4887,432.195,19.0926,1232.12,48.3516,0.723347,0.0350147,105.717,20.0728,
0.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,370.194,11.4526,363.253,11.9897,436.409,14.0093,0.734606,0.0295381,155.208,20.6306,
1.25,1000,3000,351.758,5.64225,350.881,6.35895,408.128,7.07484,0.697475,0.0126374,157.416,21.3465,
1.25,1000,5000,317.278,5.72553,315.431,5.058,322.751,4.74958,0.706995,0.010715,155.793,22.797,
1.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,309.934,22.6475,301.67,21.0677,463.838,35.2526,1.06359,0.242142,153.718,20.7913,
1.25,3000,3000,353.274,13.2538,354.187,12.9967,419.174,13.7038,0.765324,0.0459911,156.146,21.5685,
1.25,3000,5000,321.462,9.83871,338.124,10.5497,388.152,12.3883,0.748204,0.0294984,157.885,22.4901,
1.25,3000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,318.442,31.3233,336.372,37.2825,1815.74,420.538,1.55108,0.681153,153.266,23.7938,
1.25,5000,3000,367.663,15.5298,367.236,15.6189,1204.56,60.4104,0.749691,0.0400086,159.656,22.2086,
1.25,5000,5000,367.92,16.6544,348.635,14.6678,492.183,30.3133,0.760666,0.0328881,156.495,23.0163,
1.25,5000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,302.484,8.9953,323.638,10.6959,395.28,12.4573,0.755387,0.0323781,207.828,24.0849,
1.75,1000,3000,328.957,5.37772,326.615,5.5527,352.705,5.83513,0.696975,0.0120187,210.236,24.1536,
1.75,1000,5000,281.645,4.66707,285.038,4.8209,290.359,4.42163,0.750614,0.0130462,208.67,26.199,
1.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,321.04,19.3097,294.74,16.2542,366.44,23.4529,1.04086,0.185646,208.161,24.4118,
1.75,3000,3000,316.805,9.79393,321.697,10.8828,370.063,14.3647,0.781095,0.0452279,209.475,23.442,
