energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,753.195,28.739,753.01,26.186,903.54,35.0985,0.684632,0.0268293,27.3743,7.00371,
0.75,1000,3000,760.319,14.5443,768.834,15.3259,888.476,16.8603,0.698839,0.0119275,28.0721,6.67628,
0.75,1000,5000,770.842,12.086,797.439,12.5499,803.344,12.0716,0.682,0.00829225,28.2284,6.88954,
0.75,1000,7000,523.119,11.6946,512.831,12.0457,576.375,13.2644,0.749987,0.0181066,27.6032,6.89669,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,682.836,114.057,682.184,58.1273,942.896,90.6941,1.11451,0.234937,27.3883,7.24861,
0.75,3000,3000,782.009,29.2477,779.663,34.9733,846.804,38.843,0.789478,0.0408585,28.5827,6.51459,
0.75,3000,5000,745.327,23.1307,814.033,25.8257,838.548,27.0752,0.75195,0.028376,28.1178,6.66994,
0.75,3000,7000,533.555,29.5487,547.384,36.5637,692.343,36.744,0.692524,0.0410467,27.0518,6.90633,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,915.246,94.0999,692.21,75.0281,1268.49,196.087,1.25748,0.338419,28.6405,7.3939,
0.75,5000,3000,693.818,33.3986,719.975,32.1357,1018.19,39.38,0.844087,0.0493329,28.0875,6.95566,
0.75,5000,5000,722.487,24.4939,762.058,26.5912,1105.85,35.2715,0.667362,0.0206981,29.0788,7.31398,
0.75,5000,7000,524.82,36.2534,629.263,34.2503,853.126,61.0777,0.789308,0.0621585,27.6629,7.18321,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,2504.08,1479.16,807.015,260.023,16637.2,15356.4,2.99128,5.41454,28.1668,5.47681,
0.75,7000,3000,619.481,65.1443,586.169,57.9639,1165.28,184.297,0.959066,0.135605,27.6011,6.62853,
0.75,7000,5000,577.531,32.5127,641.089,39.3174,1076.75,106.624,0.692096,0.0465877,27.2215,6.47331,
0.75,7000,7000,567.824,72.7735,456.696,38.595,1246.91,337.726,1.34923,0.419569,26.7257,7.78548,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,643.384,18.3929,662.729,21.0989,787.693,24.9985,0.737319,0.0274557,39.7345,7.86231,
1.25,1000,3000,610.085,11.2695,630.338,11.8308,738.097,12.6828,0.748316,0.0149955,40.1174,7.69472,
1.25,1000,5000,643.346,8.93894,634.992,9.11272,656.514,8.87905,0.717628,0.00981217,40.6391,7.86969,
1.25,1000,7000,395.82,10.3036,400.374,9.10398,456.32,8.54615,0.73728,0.0167119,39.6472,8.34628,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,713.492,76.2398,639.784,66.4059,820.459,92.6191,1.15866,0.281062,39.7594,8.08686,
1.25,3000,3000,606.083,26.4926,605.075,22.8825,648.264,26.0783,0.736455,0.03735,40.1209,8.20691,
1.25,3000,5000,614.306,17.447,663.061,20.5227,681.444,20.7691,0.689593,0.0222603,40.506,8.17414,
1.25,3000,7000,433.726,25.6288,434.827,24.2293,473.787,27.5589,0.787772,0.0584611,38.8897,8.02805,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,598.63,52.8802,484.544,60.9736,1004.28,95.119,1.05646,0.229956,39.5859,7.61443,
1.25,5000,3000,646.367,27.2544,583.973,25.4663,821.51,34.591,0.838953,0.0475005,41.1555,7.83393,
1.25,5000,5000,575.039,17.0642,615.39,19.9995,855.507,30.2177,0.770353,0.0283355,41.4698,8.09779,
1.25,5000,7000,552.998,27.3225,548.658,31.244,917.057,63.0482,0.773819,0.0475374,39.1458,8.74269,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,549.125,109.89,1384.41,536.583,1239.9,433.793,1.96039,1.73979,38.6851,8.68415,
1.25,7000,3000,525.266,55.8926,480.926,35.8053,835.457,103.808,0.945013,0.162571,39.5578,8.51635,
1.25,7000,5000,527.684,31.8228,476.859,40.8234,970.371,87.9584,1.25597,0.210218,39.2241,8.31505,
1.25,7000,7000,463.224,54.7756,397.997,30.7399,936.564,126.553,1.0755,0.217038,39.4014,8.76432,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,546.906,19.2088,511.002,15.6258,620.481,20.0127,0.725452,0.0288304,52.3524,9.28503,
1.75,1000,3000,539.07,8.73267,560.437,9.7551,646.053,11.7685,0.717466,0.012595,52.7415,9.24293,
1.75,1000,5000,542.982,7.12833,555.936,7.75008,568.702,7.2001,0.70608,0.00897689,53.8003,9.15567,
1.75,1000,7000,363.734,7.65432,358.79,7.43937,402.961,7.70774,0.72647,0.0157323,51.6714,9.56778,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
