energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,1055.82,46.871,928.271,42.4231,1296.87,56.0912,0.746001,0.0296874,14.2879,5.03423,
0.75,1000,3000,1133.81,27.794,1087.78,25.8298,1264.94,24.5236,0.696629,0.0116054,14.286,5.211,
0.75,1000,5000,1121.16,21.3239,1137.75,21.4923,1058.68,16.7581,0.698297,0.00880612,14.6752,5.1401,
0.75,1000,7000,691.308,19.0846,682.342,20.3322,694.792,16.7552,0.731384,0.0167391,14.1527,5.17596,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,1977.41,389.625,1587.17,312.116,2146.02,478.668,0.989624,0.16758,13.7904,5.34353,
0.75,3000,3000,1097.03,56.5229,1004.09,48.6787,1136.88,58.8884,0.762097,0.0389387,14.4133,5.05314,
0.75,3000,5000,1123.63,43.7091,1057.21,45.3021,993.016,34.34,0.75961,0.0273745,14.8002,5.17753,
0.75,3000,7000,644.876,40.7025,663.27,44.6424,698.621,44.9538,0.78226,0.0523896,13.6882,5.0134,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,822.357,142.066,1432.64,377.885,2186.87,388.922,0.991426,0.179947,15.3105,5.15668,
0.75,5000,3000,926.27,58.0879,974.006,54.6464,1356.12,82.3376,0.754284,0.0490703,14.3187,4.96469,
0.75,5000,5000,906.586,30.6282,1008.81,40.8238,1308.34,51.0348,0.712985,0.0235145,14.9533,5.0341,
0.75,5000,7000,817.828,54.3666,777.918,48.1683,1025.06,80.3598,0.776877,0.0587428,13.9083,5.13643,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,2910.82,1991.69,2817.59,1195.94,16571.2,13955.7,3.79078,4.03741,14.4689,5.77543,
0.75,7000,3000,787.609,80.2218,867.902,85.1732,1449.91,906.744,0.889157,0.122172,14.658,5.5361,
0.75,7000,5000,657.629,64.0831,685.177,81.1432,928.838,84.4808,0.852345,0.0766154,14.3716,5.06121,
0.75,7000,7000,565.319,65.9545,871.826,146.738,935.688,126.859,1.15135,0.255107,13.7137,5.20639,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,868.131,30.7404,726.72,24.5759,996.459,47.1372,0.706818,0.0272661,20.1575,5.38437,
1.25,1000,3000,838.594,18.7187,836.111,15.7862,961.987,18.4163,0.723981,0.0130826,20.2348,5.61094,
1.25,1000,5000,852.564,12.9985,851.292,13.8479,849.186,12.0977,0.749109,0.0109082,20.5588,5.67244,
1.25,1000,7000,540.405,13.979,519.363,12.8101,587.959,15.915,0.697108,0.0144674,19.7316,5.68596,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,1002.28,170.972,1299.26,194.376,1409.76,340.317,1.13946,0.258303,19.6509,4.8881,
1.25,3000,3000,819.61,39.1584,807.533,40.8159,888.399,38.7539,0.746251,0.0493964,19.9253,5.58259,
1.25,3000,5000,870.56,27.0677,851.712,32.1337,817.109,23.9035,0.75359,0.0264435,20.6442,5.51576,
1.25,3000,7000,519.946,25.6394,580.084,35.824,602.786,45.6948,0.763827,0.0532689,20.0661,5.55752,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,1089.39,194.019,672.09,92.128,1256.56,168.483,1.08333,0.211905,20.0748,4.95907,
1.25,5000,3000,719.335,31.4719,685.432,32.5379,1159.24,52.2563,0.777441,0.0358488,20.7373,5.51738,
1.25,5000,5000,831.335,26.2793,779.802,26.0867,1059.98,38.194,0.786403,0.0293795,20.548,5.45794,
1.25,5000,7000,693.879,39.9494,659.54,34.7578,900.677,72.3989,0.917587,0.0826929,19.8593,6.07536,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,1367,664.866,1367.66,486.59,1343.09,499.772,1.96573,1.60552,20.5732,7.07869,
1.25,7000,3000,677.412,117.744,532.027,47.7069,8450.4,2285.74,0.910376,0.144423,19.6713,4.82482,
1.25,7000,5000,639.528,41.812,599.198,33.0365,1016.92,87.0617,0.936918,0.0948109,19.9849,5.70672,
1.25,7000,7000,519.11,48.8672,559.952,67.135,1146.13,173.443,1.27111,0.357951,20,5.56244,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,699.143,25.1894,694.679,24.3013,857.249,27.3335,0.796963,0.0319977,26.0953,6.44324,
1.75,1000,3000,708.266,13.2837,701.407,13.5003,859.459,15.9783,0.698125,0.011306,26.4936,6.24412,
1.75,1000,5000,724.765,10.1035,742.445,11.0999,728.192,10.7704,0.71837,0.00950329,27.0038,6.33477,
1.75,1000,7000,458.932,10.0671,453.432,10.2246,514.839,11.3356,0.735193,0.0159107,26.3029,6.20702,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,795.818,61.944,759.69,65.6279,838.298,65.5079,1.16734,0.229683,26.9674,6.08067,
1.75,3000,3000,709.331,24.5247,695.753,28.1076,780.763,33.7475,0.809394,0.0485185,26.4939,6.50845,
1.75,3000,5000,763.5,22.0715,730.255,21.472,732.715,22.6609,0.77224,0.0278401,26.8751,6.3606,
1.75,3000,7000,453.604,23.6566,426.602,20.3232,534.291,22.9591,0.820485,0.0546973,25.5429,6.24321,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,631.93,55.2063,756.078,99.9572,1385.05,174.838,1.01545,0.18239,26.8959,6.314,
1.75,5000,3000,658.777,29.4941,617.898,25.1947,1006.64,58.7055,0.806951,0.0491723,27.277,6.21429,
1.75,5000,5000,693.225,21.2486,651.653,21.2738,918.713,34.4701,0.701835,0.0224755,27.8567,6.25693,
1.75,5000,7000,576.94,32.764,497.628,32.6383,962.6,146.956,0.819173,0.0568608,26.0786,6.83113,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,899.444,291.396,696.678,179.211,2155.98,1113.25,1.73075,1.31743,25,7.81589,
1.75,7000,3000,509.843,54.6575,504.406,44.3882,890.143,112.291,1.02073,0.209662,27.1337,6.11759,
1.75,7000,5000,466.99,28.7662,525.405,27.9473,788.56,52.2967,0.936856,0.0996752,26.4687,7.00429,
1.75,7000,7000,455.516,50.2628,362.878,28.0529,1077.84,205.383,1.2777,0.366465,24.4681,6.51757,
1.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,1000,1000,583.506,18.4369,640.199,21.7524,763.17,25.7504,0.772948,0.0308677,32.7915,7.04396,
2.25,1000,3000,609.021,9.95525,643.196,11.5432,773.45,13.9829,0.699257,0.0114182,33.366,6.95128,
2.25,1000,5000,647.291,8.80546,641.123,9.13728,671.669,9.06208,0.697601,0.00894576,33.7532,6.90293,
2.25,1000,7000,422.533,10.1381,402.101,9.22369,456.777,9.70507,0.758702,0.0173577,32.5489,7.03296,
2.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,3000,1000,658.194,59.0507,641.703,62.8927,730.112,60.245,0.928945,0.186586,31.803,8.03019,
2.25,3000,3000,616.788,24.2957,632.777,21.5951,740.497,30.1207,0.788572,0.042045,33.5313,6.7723,
2.25,3000,5000,683.042,20.0512,644.679,20.2341,721.695,19.3017,0.790115,0.0298968,33.9117,7.12019,
2.25,3000,7000,389.67,22.1768,432.715,22.3411,498.906,28.1741,0.796991,0.0541852,32.636,6.94559,
2.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,5000,1000,585.017,57.6408,636.866,60.3065,1420.71,262.662,0.914665,0.166729,33.454,6.71058,
2.25,5000,3000,576.161,20.549,592.184,20.6086,860.606,37.8533,0.733691,0.0392114,34.0619,7.13191,
2.25,5000,5000,638.703,19.1554,591.519,19.447,843.923,31.814,0.781226,0.0277807,34.1291,6.9683,
2.25,5000,7000,496.926,24.194,456.887,26.5335,781.572,45.313,0.77398,0.0497237,33.815,7.3297,
2.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,1000,578.272,166.549,502.891,82.4367,1250.16,468.537,1.27124,0.619573,31.8857,6.88239,
2.25,7000,3000,479.683,39.444,548.299,54.3204,894.782,133.457,0.98212,0.167313,31.7462,6.7699,
2.25,7000,5000,444.068,28.6155,431.141,23.4501,854.059,70.341,0.8412,0.0911944,33.1924,7.36769,
2.25,7000,7000,455.706,51.2407,527.69,64.1573,753,95.9366,1.52324,0.577929,33.8174,6.91929,
2.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,1000,1000,583.048,19.0625,547.286,17.883,725.546,23.5486,0.795558,0.0378665,39.1691,7.5068,
2.75,1000,3000,574.104,10.0542,594.749,10.8984,708.293,12.2859,0.752743,0.0159166,39.6046,7.5512,
2.75,1000,5000,603.495,8.61371,606.705,9.12669,631.978,8.94147,0.712396,0.00930012,40.2637,7.51967,
2.75,1000,7000,387.567,9.31095,358.919,7.92951,417.361,9.04331,0.743101,0.0188725,39.2046,7.88476,
2.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,3000,1000,517.964,59.3841,573.465,53.4739,678.353,57.8634,1.00751,0.187891,39.1842,7.2515,
2.75,3000,3000,587.741,22.1382,636.799,23.5353,695.032,27.1532,0.707159,0.0344845,39.6592,7.43005,
2.75,3000,5000,587.066,15.0558,617.903,16.7505,644.664,18.3641,0.758205,0.0273645,40.43,7.38872,
2.75,3000,7000,338.927,19.1181,353.536,17.2893,430.31,19.9212,0.753751,0.0564103,39.1993,7.91617,
2.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,5000,1000,527.421,50.0697,605.562,51.2765,1087.47,202.484,1.14699,0.260652,38.7593,6.74933,
2.75,5000,3000,535.446,20.0654,525.178,20.3378,724.502,35.7551,0.778833,0.0440168,40.4134,7.99636,
2.75,5000,5000,535.266,14.607,532.095,16.6535,715.231,25.8212,0.750037,0.0263779,41.3002,7.64374,
2.75,5000,7000,431.853,29.4368,443.043,25.7066,494.25,35.5467,0.87614,0.0797025,39.6143,8.22753,
2.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,7000,1000,652.878,206.659,522.958,95.0864,778.979,158.091,7.02288,5.57178,37.9739,7.84843,
2.75,7000,3000,406.165,55.6253,470.645,41.3526,783.034,82.348,1.06184,0.206232,38.5746,7.62233,
2.75,7000,5000,421.464,23.7742,402.669,21.5096,832.963,53.0826,0.786214,0.0646167,39.6347,7.99942,
2.75,7000,7000,409.193,35.3971,413.128,31.6891,1089.55,206.258,1.11595,0.265431,38.2325,7.50359,
2.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
3.25,1000,1000,559.256,16.3407,557.291,16.4581,646.25,22.0807,0.699988,0.0278392,46.2363,7.70766,
3.25,1000,3000,542.412,9.47013,552.17,9.16864,657.546,11.5634,0.734801,0.0134769,46.2544,7.97268,
3.25,1000,5000,555.444,7.16746,577.961,7.57907,573.521,7.33004,0.693674,0.00856458,47.1925,8.1167,
3.25,1000,7000,358.266,7.81788,366.42,7.3765,417.185,10.0773,0.744951,0.0173527,45.7045,8.20148,
3.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
