energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,1158.07,47.6713,1018.99,42.8241,1369.52,56.048,0.792091,0.0277196,18.0257,5.6164,
0.75,1000,3000,1321.5,35.4972,1306.79,32.7416,1432.11,36.2927,0.723211,0.0122632,17.8625,5.8582,
0.75,1000,5000,1460.85,29.1043,1416.44,26.3208,1280.69,23.9964,0.753798,0.0106416,18.2617,5.7786,
0.75,1000,7000,1040.24,17.1385,1045.23,18.061,1025.93,20.4109,0.711675,0.00842027,18.2508,5.88158,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,1623.9,293.577,1666.47,409.558,1541.77,302.399,1.13963,0.216866,18.3383,5.27564,
0.75,3000,3000,1104.25,66.2526,1161.33,57.744,1223.27,63.3717,0.753936,0.0445351,18.3103,5.70111,
0.75,3000,5000,1443.72,58.1619,1451.24,63.1385,1287.33,48.898,0.704917,0.0228482,17.9553,5.74596,
0.75,3000,7000,1018.78,36.7357,967.899,30.2927,1126.58,43.1411,0.702388,0.0221054,18.0269,5.85086,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,1846.48,345.361,1930.13,357.931,2429.3,492.123,1.00931,0.185225,18.552,5.36248,
0.75,5000,3000,1061.56,70.6936,1249.26,83.6069,1715.28,117.055,0.794722,0.0406051,18.0843,5.52432,
0.75,5000,5000,1484.67,69.2413,1408.53,57.9781,1522.75,71.6777,0.721964,0.0253262,18.3409,5.77841,
0.75,5000,7000,1067.89,45.0646,1048.5,39.6623,1356.71,59.8109,0.681959,0.0189148,18.4034,5.87193,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,2909.99,561.565,1521.23,305.028,6368.3,6116.31,1.06151,0.199837,18.8825,5.75686,
0.75,7000,3000,1037.39,99.1026,929.235,76.9807,865.916,69.8194,0.738019,0.0396009,18.5938,6.10938,
