energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,670.434,18.8244,655.264,18.3627,831.698,23.9784,0.741579,0.0257557,53.2875,12.9483,
0.75,1000,3000,671.661,11.0204,660.704,11.8431,815.114,13.1434,0.730699,0.0126765,53.7435,11.9051,
0.75,1000,5000,709.511,9.90238,714.309,10.2237,761.499,8.63002,0.699329,0.00821462,54.7884,13.0504,
0.75,1000,7000,670.589,8.52607,680.806,9.02869,621.104,7.08935,0.706431,0.00847972,55.4023,12.5242,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,708.925,72.9978,565.379,94.2957,688.341,76.22,1.04547,0.231064,53.058,12.13,
0.75,3000,3000,700.691,27.189,647.181,26.5863,751.843,31.5632,0.744467,0.037892,53.554,12.7464,
0.75,3000,5000,721.635,22.2846,664.704,23.7694,715.115,19.0644,0.725384,0.025469,54.7421,12.6794,
0.75,3000,7000,740.152,20.5613,722.886,23.3865,787.318,24.6587,0.740086,0.0235643,55.1693,13.1757,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,590.736,46.1548,536.155,39.7781,842.491,72.9924,1.04781,0.193924,53.2006,13.7546,
0.75,5000,3000,649.236,25.4433,654.66,23.8,787.177,33.7586,0.84451,0.0461082,54.2639,12.8039,
0.75,5000,5000,655.491,20.6356,643.907,20.6889,841.735,23.8303,0.787406,0.0315167,55.5791,12.5127,
0.75,5000,7000,726.632,20.9059,730.225,20.4486,968.99,34.9397,0.735655,0.0222248,55.2801,13.5088,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,463.793,51.784,547.025,55.4986,602.516,69.5059,1.05837,0.26098,55.1119,14.4172,
0.75,7000,3000,505.756,21.2381,522.711,27.4419,584.899,26.5388,0.799269,0.0544377,55.4176,11.9107,
0.75,7000,5000,538.039,16.3322,545.543,21.1509,608.338,21.0918,0.7631,0.0317124,55.1057,13.223,
0.75,7000,7000,527.968,16.2649,558.807,18.9836,564.709,17.1547,0.767051,0.0259986,55.2614,12.5551,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,528.025,14.0834,540.439,14.4648,704.196,18.4341,0.780803,0.0285276,87.6827,15.2225,
1.25,1000,3000,531.891,7.9309,544.33,8.42626,681.445,10.2461,0.735577,0.0132354,88.4278,14.5162,
1.25,1000,5000,570.327,7.43145,565.753,7.25957,630.941,6.83319,0.740284,0.010207,90.1693,15.1666,
1.25,1000,7000,541.001,7.17688,548.182,7.95683,500.273,5.2291,0.700757,0.0078141,91.2332,15.0007,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,526.316,53.2642,596.472,40.7445,556.298,39.7833,1.30277,0.33227,85.6051,13.0098,
1.25,3000,3000,539.705,21.1544,550.458,21.2358,568.779,19.0603,0.761403,0.0400928,90.0984,14.641,
1.25,3000,5000,562.934,16.0812,551.706,16.832,561.882,14.5731,0.722143,0.0252661,89.8232,14.5655,
1.25,3000,7000,558.086,22.2624,602.394,17.2867,557.512,14.3872,0.708433,0.0193541,90.4464,15.0244,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,441.487,42.1781,533.817,34.699,595.767,47.6817,1.27823,0.333492,87.5144,15.4619,
1.25,5000,3000,427.012,14.9248,502.107,17.3932,638.116,21.9827,0.769509,0.0409876,91.2111,15.3466,
1.25,5000,5000,512.331,14.1583,481.176,13.4664,700.21,19.9763,0.769771,0.0279427,90.387,14.7319,
1.25,5000,7000,582.574,15.8265,589.895,18.7998,774.936,21.7784,0.744948,0.0218855,91.6192,15.9419,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,448.002,44.2661,381.954,31.0213,488.807,49.1192,1.12841,0.257383,89.9519,14.3638,
1.25,7000,3000,388.314,16.2644,389.705,14.1127,502.421,20.4167,0.791096,0.0464379,91.3634,14.7259,
1.25,7000,5000,407.523,13.9729,416.992,14.5589,491.048,16.6619,0.751774,0.0291094,91.3617,16.272,
1.25,7000,7000,423.571,13.3701,381.263,10.5455,476.667,15.1208,0.740163,0.0244055,91.8471,15.8008,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,453.607,13.8005,455.415,12.5923,648.744,16.091,0.757684,0.0257262,123.781,16.3085,
1.75,1000,3000,459.785,6.36183,459.507,7.44199,565.323,7.59332,0.790928,0.0163662,125.514,16.6909,
1.75,1000,5000,479.036,5.97829,483.781,6.37775,534.79,5.5203,0.724546,0.00937469,127.395,17.129,
1.75,1000,7000,489.542,6.59567,492.348,7.09148,452.2,4.73229,0.692283,0.00739952,128.462,17.4762,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,467.391,34.1631,517.804,37.8018,516.46,49.074,1.09025,0.198807,121.765,15.5642,
1.75,3000,3000,488.891,17.5088,489.993,20.3295,509.306,18.1206,0.773431,0.0460286,123.424,15.6849,
1.75,3000,5000,488.288,13.334,482.616,13.3216,500.167,13.8191,0.7157,0.0236647,127.125,17.2142,
1.75,3000,7000,511.603,14.4484,497.105,14.8037,466.34,10.3951,0.705084,0.0202258,128.353,18.1142,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,409.962,27.9889,384.358,25.9195,570.708,48.3617,1.32754,0.316021,125.472,15.4567,
1.75,5000,3000,449.45,16.1048,411.83,14.2409,506.444,20.4803,0.7787,0.0455464,125.925,16.6213,
1.75,5000,5000,426.238,13.0177,440.132,11.3218,576.266,16.1908,0.765452,0.0269146,128.464,17.4,
1.75,5000,7000,460.467,12.8322,497.765,15.3173,580.593,16.4145,0.73681,0.0206142,130.94,17.8947,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,392.386,35.3848,352.813,33.1036,512.674,40.9582,1.21841,0.305065,126.037,17.7955,
1.75,7000,3000,369.685,14.6002,371.364,16.6179,453.734,19.6136,0.711733,0.0395923,127.469,17.0669,
1.75,7000,5000,354.887,9.6314,356.65,10.7343,463.543,14.5865,0.687878,0.0242729,129.068,17.8097,
1.75,7000,7000,361.834,11.0538,365.784,9.71816,463.621,13.9263,0.826258,0.0348999,128.949,17.375,
1.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
