energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,598.647,17.7957,589.393,17.307,801.027,24.5164,0.746061,0.0261242,51.0757,12.6413,
0.75,1000,3000,616.19,10.3335,644.732,11.1177,752.893,14.0699,0.697051,0.0112539,51.7469,12.2478,
0.75,1000,5000,655.912,8.96871,663.452,9.08651,683.103,8.60278,0.723037,0.0101708,53.0124,13.2299,
0.75,1000,7000,432.542,9.38056,406.994,10.2182,486.986,9.27626,0.692701,0.0141929,52.335,13.2401,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,619.6,57.6134,616.017,57.8977,724.384,59.0823,1.16857,0.290606,51.0549,12.8175,
0.75,3000,3000,653.639,26.817,582.826,18.9972,685.968,30.705,0.786431,0.0430436,51.6479,12.8701,
0.75,3000,5000,655.378,18.6625,646.472,18.3269,705.234,20.6661,0.718664,0.0241296,53.868,11.9905,
0.75,3000,7000,386.318,16.6163,478.678,27.8207,678.813,38.6609,0.708712,0.0620657,53.85,12.7516,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,580.605,40.7559,505.627,46.2492,1134.42,134.27,1.11954,0.230455,51.5715,13.3073,
0.75,5000,3000,537.933,18.7131,539.617,22.7182,807.478,40.2044,0.798688,0.0411302,52.5848,12.5863,
0.75,5000,5000,590.778,17.0401,578.867,16.7474,958.687,28.615,0.735009,0.0260813,53.8731,13.5285,
0.75,5000,7000,482.524,25.0172,488.78,36.8758,977.79,86.8277,0.698659,0.0430634,51.9753,12.3509,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,439.797,70.3914,350.074,71.8659,1043.21,323.316,0.983472,0.383672,53.0886,12.6914,
0.75,7000,3000,418.767,37.4439,427.334,33.0606,792.181,96.9098,1.26796,0.333626,51.6245,13.3171,
0.75,7000,5000,455.711,25.938,437.408,24.5694,700.243,46.3922,0.821014,0.0707833,52.9104,13.4179,
0.75,7000,7000,356.628,32.5623,443.772,41.2014,710.954,121.067,1.15284,0.257052,51.8818,14.1573,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,493.165,14.1129,488.631,13.8963,625.905,17.4685,0.751411,0.0296956,86.8728,15.1531,
1.25,1000,3000,511.167,7.85844,504.65,8.28883,603.362,9.94961,0.731862,0.0138509,86.8882,15.1987,
1.25,1000,5000,546.663,7.09913,541.464,7.19988,543.733,6.30005,0.737966,0.0105635,89.6437,14.7381,
1.25,1000,7000,348.004,8.22095,362.222,7.77683,387.748,7.6413,0.700273,0.0138551,88.1048,15.3886,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,527.237,35.8391,571.211,43.941,654,48.4964,1.0487,0.176119,86.4383,15.2852,
1.25,3000,3000,530.196,22.4728,470.632,17.4736,563.886,20.4268,0.801801,0.0491672,89.111,15.2096,
1.25,3000,5000,568.336,17.8418,531.495,14.1189,521.015,12.5866,0.759668,0.0276695,88.7494,15.1675,
1.25,3000,7000,377.544,14.7477,338.059,17.7817,436.168,19.2815,0.815306,0.0568376,88.2188,14.4147,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,419.656,35.4397,433.762,29.2331,822.169,86.619,1.0641,0.206283,87.2419,15.0879,
1.25,5000,3000,420.323,14.9778,436.407,16.2272,755.805,37.1807,0.844692,0.0481894,90.5366,15.3778,
1.25,5000,5000,443.836,10.7753,486.704,13.9341,659.409,19.6922,0.763375,0.0266538,91.1525,15.3708,
1.25,5000,7000,453.299,21.0082,352.385,18.0457,580.104,31.9138,0.858372,0.0585268,89.458,16.0434,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,440.795,91.0266,434.294,77.5068,849.704,253.616,2.10677,2.4926,86.5523,13.7274,
1.25,7000,3000,295.377,31.4582,330.554,20.4691,621.133,57.3029,1.04269,0.18368,86.6273,14.8132,
1.25,7000,5000,332.095,16.2748,371.083,17.2487,517.672,37.1236,0.874491,0.0862399,88.1124,15.9829,
1.25,7000,7000,356.768,26.2679,315.571,24.9398,845.64,114.396,1.37351,0.449755,86.4298,17.62,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,440.796,12.4403,450.711,12.8554,537.866,14.5129,0.804115,0.0325861,125.05,16.7746,
1.75,1000,3000,439.742,6.75595,449.337,7.04791,527.256,8.5372,0.723711,0.0130016,125.63,17.2864,
1.75,1000,5000,486.245,6.56114,485.055,6.25197,476.627,5.26232,0.755875,0.0112254,127.682,17.5629,
1.75,1000,7000,326.722,7.38134,315.734,7.06197,355.201,6.85927,0.73013,0.0158266,125.06,17.1298,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,492.476,36.886,429.841,31.9194,534.62,33.9277,1.10103,0.248036,121.57,16.2747,
1.75,3000,3000,433.391,15.6963,441.61,17.6785,481.025,17.9605,0.839449,0.0485388,124.749,16.3476,
1.75,3000,5000,498.82,13.8404,481.075,12.4452,430.233,11.0371,0.743495,0.0258474,127.552,17.4209,
1.75,3000,7000,318.289,17.5835,331.818,20.1027,380.545,19.0188,0.829063,0.0589311,124.607,18.8592,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,452.727,35.1469,372.218,24.4925,930.443,148.601,1.14595,0.234863,123.59,16.8163,
1.75,5000,3000,369.915,11.9671,393.692,13.4515,568.679,31.8611,0.756218,0.0390652,127.282,16.4612,
1.75,5000,5000,434.265,11.3483,398.839,10.7983,571.75,15.76,0.726819,0.0223588,128.345,16.91,
1.75,5000,7000,327.015,14.057,318.621,14.3266,469.247,24.8537,0.711176,0.0426794,128.206,17.1037,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,298.737,53.1183,291.338,46.0991,780.766,197.693,4.2914,5.20243,122.836,16.028,
